
> backend@1.0.0 dev
> ts-node --transpile-only src/index.ts

[dotenv@17.3.1] injecting env (0) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
🚀 API Superior V2 corriendo en http://localhost:3001
🤖 Bot de Telegram activo.
✅ Conexión a Base de Datos de Producción estable.
[2026-03-06T23:34:11.532Z] OPTIONS /api/tracking/narrativa/2473
[2026-03-06T23:34:11.534Z] GET /api/tracking/narrativa/2473
[2026-03-06T23:34:11.544Z] OPTIONS /api/tracking/narrativa/2473
[2026-03-06T23:34:11.546Z] GET /api/tracking/narrativa/2473
[2026-03-06T23:34:12.912Z] OPTIONS /api/export/word/narrative/2473
[2026-03-06T23:34:12.913Z] GET /api/export/word/narrative/2473
[2026-03-06T23:35:53.224Z] OPTIONS /api/tracking/narrativa/2473
[2026-03-06T23:35:53.226Z] GET /api/tracking/narrativa/2473
[2026-03-06T23:35:53.230Z] OPTIONS /api/tracking/narrativa/2473
[2026-03-06T23:35:53.231Z] GET /api/tracking/narrativa/2473
[2026-03-06T23:36:00.824Z] OPTIONS /api/narratives/2473/observe-safin
[2026-03-06T23:36:00.825Z] POST /api/narratives/2473/observe-safin
[2026-03-06T23:36:04.112Z] OPTIONS /api/narratives/inbox?periodo=2026
[2026-03-06T23:36:04.113Z] GET /api/narratives/inbox?periodo=2026
[2026-03-06T23:36:04.118Z] GET /api/narratives/inbox?periodo=2026
[2026-03-06T23:37:37.356Z] OPTIONS /api/narratives/inbox?periodo=2026
[2026-03-06T23:37:37.358Z] GET /api/narratives/inbox?periodo=2026
[2026-03-06T23:37:37.371Z] GET /api/narratives/inbox?periodo=2026
[2026-03-06T23:37:41.886Z] OPTIONS /api/catalogs/dependencies?axis=I&periodo=2026&withProgress=true
[2026-03-06T23:37:41.887Z] GET /api/catalogs/dependencies?axis=I&periodo=2026&withProgress=true
[DEBUG] Filtrando por Eje: "I"
[DEBUG] Antes: 86, Después: 14
[2026-03-06T23:37:41.901Z] GET /api/catalogs/dependencies?axis=I&periodo=2026&withProgress=true
[DEBUG] Filtrando por Eje: "I"
[DEBUG] Antes: 86, Después: 14
[2026-03-06T23:37:49.712Z] OPTIONS /api/users
[2026-03-06T23:37:49.716Z] GET /api/users
[2026-03-06T23:37:49.722Z] OPTIONS /api/catalogs/dependencies?periodo=2026
[2026-03-06T23:37:49.722Z] GET /api/catalogs/dependencies?periodo=2026
[2026-03-06T23:37:49.733Z] GET /api/catalogs/dependencies?periodo=2026
[2026-03-06T23:37:49.742Z] GET /api/users
[2026-03-06T23:37:51.782Z] OPTIONS /api/dependencies
[2026-03-06T23:37:51.783Z] GET /api/dependencies
[2026-03-06T23:37:51.783Z] GET /api/dependencies - User: undefined Roles: [ 'SuperAdministrador' ]
[2026-03-06T23:37:51.788Z] Found 86 dependencies
[2026-03-06T23:37:51.789Z] GET /api/dependencies
[2026-03-06T23:37:51.789Z] GET /api/dependencies - User: undefined Roles: [ 'SuperAdministrador' ]
[2026-03-06T23:37:51.792Z] Found 86 dependencies
[2026-03-06T23:37:53.351Z] OPTIONS /api/periods
[2026-03-06T23:37:53.351Z] GET /api/periods
[2026-03-06T23:37:53.354Z] GET /api/periods
[2026-03-06T23:40:17.036Z] OPTIONS /api/dashboard/stats?periodo=2026
[2026-03-06T23:40:17.038Z] OPTIONS /api/activities?periodo=2026
